Authors,Title,Journal,Volume,Number,Pages,Year,Publisher,Link,Count,NewsLink,Comments,Type,
"BM Schilder, AE Murphy, NG Skene","The rworkflows suite: automated continuous integration for quality checking, documentation website creation, and containerised deployment of R packages", Research Square,,,,2023,,https://doi.org/10.21203/rs.3.rs-2399015/v1,,,,preprint,
"D Hu, L Abbasova, BM Schilder, A Nott, NG Skene, SJ Marzi ",CUT&Tag recovers up to half of ENCODE ChIP-seq peaks,bioRxiv,,,,2022,, https://doi.org/10.1101/2022.03.30.486382,,,,preprint,
"S Choi, BM Schilder, L Abbasova, AE Murphy, NG Skene",EpiCompare: R package for the comparison and quality control of epigenomic peak files ,bioRxiv,,,,2022,,https://doi.org/10.1101/2022.07.22.501149 ,,,,preprint,
"N Mullins, J Kang, AI Campos,…BM Schilder, et al. ","Dissecting the Shared Genetic Architecture of Suicide Attempt, Psychiatric Disorders, and Known Risk Factors",Biological Psychiatry,91,3,313-327,2022,,https://doi.org/10.1016/j.biopsych.2021.05.029 ,,,,publication,
"K de Paiva Lopes, G JL Snijders, J Humphrey, A Allan, M Sneeboer, E Navarro, BM Schilder…T Raj","Genetic analysis of the human microglial transcriptome across brain regions, aging and disease pathologies",Nature Genetics,,,,2022,Nature Publishing Group,https://doi.org/10.1038/s41588-021-00976-y,,https://www.alzforum.org/news/research-news/mighty-miga-microglial-genomic-atlas-zeros-causal-ad-risk-variants,,publication,
"BM Schilder, E Navarro, T Raj ",Multi-omic insights into Parkinson's Disease: From genetic associations to functional mechanisms,Neurobiology of Disease,105580,,,2021,,https://doi.org/10.1016/j.nbd.2021.105580 ,,,,publication,
"BM Schilder, T Raj",Fine-Mapping of Parkinson's Disease Susceptibility Loci Identifies Putative Causal Variants,Human Molecular Genetics,ddab294,,,2021,,https://doi.org/10.1093/hmg/ddab294 ,,,,publication,
"BM Schilder, J Humphrey, T Raj",echolocatoR: An Automated End-to-End Statistical and Functional Genomic Fine-Mapping Pipeline,Bioinformatics,btab658,,,2021,Oxford University Press,https://doi.org/10.1093/bioinformatics/btab658,,,,publication,
"A Murphy, BM Schilder, NG Skene",MungeSumstats: A Bioconductor Package for the Standardisation and Quality Control of Many GWAS Summary Statistics,Bioinformatics,37,23,4593-4596,2021,Oxford University Press,https://doi.org/10.1093/bioinformatics/btab665,,,,publication,
"E Navarro, E Udine, K de Paiva Lopes, M Parks, G Riboldi, BM Schilder…T Raj",Dysregulation of mitochondrial and proteo-lysosomal genes in Parkinson's disease myeloid cells,Nature Genetics,,,,2021,Nature Publishing Group,https://doi.org/10.1101/2020.07.20.212407,,,,publication,
"C Moon, BM Schilder, T Raj, K-l Huang",Phenome-wide and eQTL Associations of COVID-19 Genetic Risk Loci,iScience,,,,2021,, https://doi.org/10.1016/j.isci.2021.102550 ,,,,publication,
"N Mullins, AJ Forstner, KS O’Connell, B Coombes, JRI Coleman…BM Schilder… et al.","Genome-Wide Association Study of over 40,000 Bipolar Disorder Cases Provides Novel Biological Insights",Nature Genetics,53,,817-829,2020,Nature Publishing Group,https://doi.org/10.1038/s41588-021-00857-4 ,,,,publication,
"S Ramdhani, E Navarro, E Udine, AG Efthymiou, BM Schilder, M Parks, A Goate, T Raj",Tensor decomposition of stimulated monocyte and macrophage gene expression profiles identifies neurodegenerative disease-specific trans-eQTLs,PLOS Genetics,16,9,e1008549,2020,Public Library of Science,https://doi.org/10.1101/499509 ,,,,publication,
"BM Schilder, HM Petry, PR Hof",Evolutionary shifts dramatically reorganized the human hippocampal complex,Journal of Comparative Neurology,528,17,3143-3170,2019,Elsevier,https://doi.org/10.1002/cne.24822,,,,publication,
"D Clarke, L Wang, A Jones, M Wojciechowicz, D Torre, K Jagodnik, S Jenkins, P McQuilton, Z Flamholz, M Silverstein, BM Schilder…A Ma'ayan ","FAIRshake: Toolkit to Evaluate the Findability, Accessibility, Interoperability, and Reusability of Research Digital Resources.",Cell Systems,9,,,2019,,https://doi.org/10.1016/j.cels.2019.09.011,,,Chosen as 'Featured Frontmatter' article in Cell Systems issue.,publication,
"A Lachmann, BM Schilder, ML Wojciechowicz, D Torre, MV Kuleshov, AB Keenan, A Ma’ayan",Geneshot: search engine for ranking genes from arbitrary text queries,Nucleic Acids Research,47,W1,W571-W577,2019,,https://doi.org/10.1093/nar/gkz393,,,,publication,
"DJB Clarke, MV Kuleshov, BM Schilder, D Torre, ME Duffy, AB Keenan, A Lachmann, AS Feldmann, GW Gundersen, MC Silverstein, Z Wang",eXpression2Kinases (X2K) Web: linking expression signatures to upstream cell signaling networks,Nucleic Acids Research,46,W1,W171-W179,2018,,https://doi.org/10.1093/nar/gky458 ,,,,publication,
